,wod_text_raw
2019-04-12,"<p><strong>Cindy</strong></p>

<p>Complete as many rounds as possible in 20 minutes of:<br />
5 pull-ups<br />
10 push-ups<br />
15 squats</p>

<p>Post rounds completed to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/workout/2005/04/24#/comments"" target=""_blank""> 050424</a>.</p>
"
2019-04-11,"<p>Run or row 5,000 meters.</p>

<p>Stretch and practice handstands for 20 minutes.</p>

<p>Post time to comments.</p>
"
2019-04-10,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-09,"<p>Deadlift 5-3-3-1-1-1 reps.</p>

<p>Practice scales and planks for 20 minutes.</p>

<p>Post loads to comments.</p>
"
2019-04-08,"<p>3 rounds for time of:</p>

<p>15 power snatches<br />
15 thrusters<br />
1,000-m row</p>

<p><em>Men: 95 lb.</em><br />
<em>Women: 65 lb.</em></p>

<p>Post time to comments.</p>
"
2019-04-07,"<p>5 rounds for time of:</p>

<p>1 L-sit rope climb, 15 ft.<br />
35 strict push-ups</p>

<p>Post time to comments.</p>
"
2019-04-06,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-05,"<p>Alternating-arm dumbbell row 1-1-1-1-1-1-1-1 reps<br />
(8 reps per arm)</p>

<p>Practice controlled descent from handstands for 15 minutes.</p>

<p>Row 2,000 meters.</p>

<p>Post loads to comments.</p>
"
2019-04-04,"<p>3 rounds for time of:</p>

<p>20 walking lunges<br />
30 wall-ball shots<br />
40 triple-unders</p>

<p><em>Men: 20-lb. ball to 10 ft.</em><br />
<em>Women: 14-lb. ball to 9 ft.</em></p>

<p>Post time to comments.</p>
"
2019-04-03,"<p>3 rounds for time of:</p>

<p>5 strict L pull-ups<br />
15 strict push-ups<br />
5 strict L pull-ups<br />
15 strict push-ups<br />
Row 750 meters</p>

<p>Post time to comments.</p>
"
2019-04-02,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-04-01,"<p>Dumbbell press 5-3-3-1-1-1 reps</p>

<p>Practice scales for 10 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-31,"<p>Practice L-sits for 10 minutes.</p>

<p>Row 5,000 meters for time.</p>

<p>Stretch for 10 minutes.</p>

<p>Post row time to comments.</p>
"
2019-03-30,"<p><strong><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"">CrossFit Total</a></strong></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190310"">190310</a>.</p>
"
2019-03-29,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-28,"<p>5 rounds for time of:</p>

<p>Lunge 30 feet<br />
15 pull-ups<br />
30 push-ups</p>

<p>Take as few steps as possible for the lunges, and be super strict on the pull-ups and push-ups.</p>

<p>Post time to comments.</p>
"
2019-03-27,"<p>Overhead squat 5-3-3-1-1-1 reps<br />
Stretch for 10 minutes.<br />
Practice slow descent from handstand for 10 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-26,"<p>3 rounds for time of:</p>

<p>5 strict muscle-ups<br />
1 minute of L-sit</p>

<p>Post time to comments.</p>
"
2019-03-25,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-24,"<p>For time:</p>

<p>Row 1,000 meters<br />
Rest 2 minutes<br />
Row 1,000 meters<br />
Rest 2 minutes<br />
Row 1,000 meters</p>

<p>Post time to comments.</p>
"
2019-03-23,"<p>Deadlift 5-3-3-1-1-1 reps</p>

<p>Practice slow descent from handstand for 20 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-22,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.5</a></p>

<p>33-27-21-15-9 reps for time of:</p>

<p>Thrusters<br />
Chest-to-bar pull-ups</p>

<p><em>Men 95 lb.</em><br />
<em>Women 65 lb.</em></p>

<p>Post time or reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-03-21,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-20,"<p>Power clean 5-3-3-1-1-1 reps.</p>

<p>Practice the L-sit for 10 minutes.</p>

<p>Practice front and back scales for 10 minutes.</p>

<p>Post loads to comments.</p>
"
2019-03-19,"<p>For time:</p>

<p>Row 500 meters<br />
21 thrusters<br />
Row 1,000 meters<br />
15 thrusters<br />
Row 500 meters<br />
21 thrusters</p>

<p><em>Men: 135 lb.</em><br />
<em>Women: 95 lb.</em></p>

<p>Post time to comments.</p>
"
2019-03-18,"<p>3 rounds for max reps of:</p>

<p>Body-weight bench presses<br />
Strict pull-ups</p>

<p>Post reps completed to comments.</p>
"
2019-03-17,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-16,"<p>With constant motion and slowly:<br />
21 single-arm dumbbell rows, each arm<br />
9 ring dips (deep and strict)<br />
30 squats<br />
15 single-arm dumbbell rows, each arm<br />
12 ring dips<br />
30 squats<br />
9 single-arm dumbbell rows, each arm<br />
15 ring dips<br />
30 squats</p>

<p><em>Men: 50-lb. dumbbell</em><br />
<em>Women: 35-lb. dumbbell</em></p>

<p>Post to comments.</p>
"
2019-03-15,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.4</a></p>

<p>For total time:</p>

<p>3 rounds of:<br />
   10 snatches<br />
   12 bar-facing burpees</p>

<p>Rest 3 minutes</p>

<p>Then, 3 rounds of:<br />
   10 bar muscle-ups<br />
   12 bar-facing burpees</p>

<p><em>Men: 95 lb.</em><br />
<em>Women: 65 lb.</em></p>

<p>Post time or reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-03-14,"<p>10 minutes of scale practice<br />
10 minutes of handstand practice<br />
10 minutes of L-sit practice<br />
10 minutes of stretching</p>

<p>Post to comments.</p>
"
2019-03-13,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-12,"<p>Run 5,000 meters</p>

<p>Post time to comments | Compare to <a href=""https://www.crossfit.com/190214"" target=""_blank"">190214</a>.</p>
"
2019-03-11,"<p>3 rounds for time:</p>

<p>Row 500 meters<br />
15 strict pull-ups<br />
30 push-ups</p>

<p>Then,<br />
Practice L-sits for 10 minutes.</p>

<p>Post time to comments.</p>
"
2019-03-10,"<p><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"" target=""_blank"">CrossFit Total</a></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post loads to comments.<br />
Compare to <a href=""https://www.crossfit.com/190118"" target=""_blank""> 190118</a>.</p>
"
2019-03-09,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-08,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.3</a><br />
For time:<br />
200-ft. dumbbell overhead lunge<br />
50 dumbbell box step-ups<br />
50 strict handstand push-ups<br />
200-ft. handstand walk</p>

<p><em>Men: 50-lb. dumbbell / 24-in. box</em><br />
<em>Women: 35-lb. dumbbell / 20-in. box</em></p>

<p>Post reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-03-07,"<p>Deadlift 5-5-3-3-3-1-1-1-1 reps</p>

<p>Post loads to comments | Compare to  <a href=""https://www.crossfit.com/190216"" target=""_blank"">190216</a>.</p>
"
2019-03-06,"<p>Practice front scale for 10 minutes<br />
Practice back scale for 10 minutes</p>

<p>Then,<br />
Row 5,000 meters for time</p>

<p>Post row time to comments.</p>
"
2019-03-05,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-04,"<p>For 20 minutes perform:<br />
Strict pull-ups - push-ups - squats<br />
5-10-15 reps<br />
&nbsp;&nbsp; If you can finish 8 rounds by 5:00, switch to:<br />
10-20-30 reps<br />
&nbsp;&nbsp; If you can finish 4 rounds by 10:00, switch to:<br />
20-40-60 reps<br />
&nbsp;&nbsp; If you can finish 2 rounds by 15:00, switch to:<br />
40-80-120 reps, then stop.</p>

<p>Post time for completion of WOD to comments.</p>
"
2019-03-03,"<p>On a 9-minute clock, 3 rounds for max reps of:</p>

<p>1-minute handstand hold<br />
2 minutes of wall-ball shots</p>

<p>In round 1, subtract 5 reps each time you fall from the handstand. In round 2, subtract 10 reps. In round 3, subtract 15 reps. Feet must be off the floor by 0:00, 3:00 and 6:00 or start over. If a fall keeps your feet on the ground for more than 5 seconds, start over.</p>

<p>Post reps completed to comments.</p>
"
2019-03-02,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-03-01,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.2</a></p>

<p>Beginning on an 8-minute clock, complete as many reps as possible of:<br />
25 toes-to-bars<br />
50 double-unders<br />
15 squat cleans, 135 / 85 lb.<br />
25 toes-to-bars<br />
50 double-unders<br />
13 squat cleans, 185 / 115 lb.</p>

<p>If completed before 8 minutes, add 4 minutes to the clock and proceed to:<br />
25 toes-to-bars<br />
50 double-unders<br />
11 squat cleans, 225 / 145 lb.</p>

<p>If completed before 12 minutes, add 4 minutes to the clock and proceed to:<br />
25 toes-to-bars<br />
50 double-unders<br />
9 squat cleans, 275 / 175 lb.</p>

<p>If completed before 16 minutes, add 4 minutes to the clock and proceed to:<br />
25 toes-to-bars<br />
50 double-unders<br />
7 squat cleans, 315 / 205 lb.</p>

<p>Post reps to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-02-28,"<p>Push jerk 5-5-3-3-3-1-1-1-1 reps</p>

<p>Post loads to comments.</p>
"
2019-02-27,"<p>Row 5,000 meters</p>

<p>Post time to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/workout/2018/02/15"" target=""_blank"">180215</a> or <a href=""https://www.crossfit.com/190130"" target=""_blank"">190130</a>.</p>
"
2019-02-26,"<p>Overhead squat 5-5-3-3-3-1-1-1-1 reps</p>

<p>Post loads to comments.</p>
"
2019-02-25,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-02-24,"<p>5 rounds for time of:</p>

<p>2 legless rope climbs, 15 feet<br />
20 dumbbell snatches, alternating arms</p>

<p><em>Men: 65-lb. dumbbell</em><br />
<em>Women: 45-lb. dumbbell</em></p>

<p>Post time to comments.</p>
"
2019-02-23,"<p>3 rounds for time of:</p>

<p>50 double-unders<br />
2 minutes holding a handstand<br />
35 AbMat sit-ups</p>

<p>Post time to comments.</p>
"
2019-02-22,"<p><a href=""https://games.crossfit.com/"">Open Workout 19.1</a></p>

<p>Complete as many rounds as possible in 15 minutes of:<br />
19 wall-ball shots<br />
19-cal. row</p>

<p><em>M 20-lb. wall ball to 10 ft.</em><br />
<em>W 14-lb. wall ball to 9 ft.</em></p>

<p>Post time to comments, and/or submit your score as part of the <a href=""https://games.crossfit.com/"">2019 Reebok CrossFit Games Open</a>.</p>
"
2019-02-21,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>

<p>Tune in 5:00 p.m. PT for the <a href=""https://games.crossfit.com/"">announcement of Open Workout 19.1</a>.</p>
"
2019-02-20,"<p>Clean and jerk 5-5-3-3-3-1-1-1-1 reps</p>

<p>Post loads to comments.</p>
"
2019-02-19,"<p>3 rounds for time of:</p>

<p>21 hip-back extensions<br />
21 GHD sit-ups<br />
21 burpees over the bar<br />
21 inverted burpees</p>

<p>Post time to comments.</p>
"
2019-02-18,"<p><strong>Strict Fran</strong></p>

<p>21-15-9 reps for time of:<br />
Thrusters<br />
Strict pull-ups</p>

<p><em>Men: 95 lb.</em><br />
<em>Women: 65 lb.</em></p>

<p>Post time to comments.</p>
"
2019-02-17,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-02-16,"<p>Deadlift 5-5-3-3-3-1-1-1-1 reps</p>

<p>Post loads to comments | Compare to <a href=""https://www.crossfit.com/workout/2018/03/24"" target=""_blank"">180324</a>.</p>
"
2019-02-15,"<p>3 rounds for time of:</p>

<p>15 body-weight bench presses<br />
20 single-arm rows, left arm<br />
20 single-arm rows, right arm<br />
1,000-meter row</p>

<p><em>Men: 40-lb. dumbbell</em><br />
<em>Women: 25-lb. dumbbell</em></p>

<p>Post time to comments.</p>
"
2019-02-14,"<p>Run 5,000 meters</p>

<p>Post time to comments | Compare to <a href=""https://www.crossfit.com/workout/2018/09/25"" target=""_blank"">180925</a>  or <a href=""https://www.crossfit.com/190130"" target=""_blank"">190130</a>.</p>
"
2019-02-13,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-02-12,"<p>Try to complete in 20 minutes:<br />
5 strict pull-ups<br />
10 push-ups<br />
15 squats<br />
10 strict pull-ups<br />
20 push-ups<br />
30 squats<br />
20 strict pull-ups<br />
40 push-ups<br />
60 squats<br />
40 strict pull-ups<br />
80 push-ups<br />
120 squats</p>

<p>Post time or amount completed within 20 minutes to comments.</p>
"
2019-02-11,"<p>3 rounds for time of:</p>

<p>15 power snatches<br />
15 thrusters</p>

<p><em>Men: 95 lb.</em><br />
<em>Women: 65 lb.</em></p>

<p>Post time to comments.</p>
"
2019-02-10,"<p>Handstand practice for 12 minutes<br />
L-sit practice for 12 minutes<br />
Stretch for 12 minutes</p>

<p>Post to comments.</p>
"
2019-02-09,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-02-08,"<p>3 rounds for time of:</p>

<p>7 strict muscle-ups<br />
50 squats<br />
1,000-meter row</p>

<p>Post time to comments.</p>
"
2019-02-07,"<p><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"" target=""_blank"">CrossFit Total</a></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post total to comments | Compare to <a href=""https://www.crossfit.com/190118"" target=""_blank"">190118</a>.</p>
"
2019-02-06,"<p>3 rounds for time of:</p>

<p>1,000-meter row<br />
15 hip-back extensions (no momentum)<br />
21 GHD sit-ups</p>

<p>Post time to comments.</p>
"
2019-02-05,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-02-04,"<p>5 rounds for time of:</p>

<p>21 back squats<br />
1 legless rope climb, 15 ft.</p>

<p><em>Men: 135 lb.</em><br />
<em>Women: 95 lb.</em></p>

<p>Post time to comments.</p>
"
2019-02-03,"<p>5 rounds for time of:</p>

<p>1-minute handstand hold<br />
21 toes-to-bars</p>

<p>Post time to comments.</p>
"
2019-02-02,"<p>3 rounds for time of:</p>

<p>1,000-meter row<br />
5 rounds of Cindy</p>

<p>1 round of Cindy is 5 strict pull-ups, 10 push-ups, and 15 squats.</p>

<p>Post time to comments.</p>
"
2019-02-01,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-31,"<p>Deadlift 1-1-1-1-1 reps</p>

<p>Then, practice handstands for 20 minutes.</p>

<p>Post loads to comments | Compare to <a href=""https://www.crossfit.com/190109"" target=""_blank"">190109</a>.</p>
"
2019-01-30,"<p>Run or row 5,000 m</p>

<p>Whichever sounds worse.</p>

<p>Post time to comments | Compare to <a href=""https://www.crossfit.com/workout/2010/02/22"" target=""_blank"">100222</a>.</p>
"
2019-01-29,"<p><strong>Option A</strong><br />
3 rounds for time of:<br />
3 legless rope ascents, 15-ft. rope<br />
5 strict handstand push-ups</p>

<p><strong>Option B</strong><br />
5 rounds for time of:<br />
4 leg-assisted rope ascents, 15-ft. rope<br />
5 kipping handstand push-ups</p>

<p>Post time and option completed to comments.</p>
"
2019-01-28,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-27,"<p>3 rounds for time of:</p>

<p>15 squat cleans<br />
15 ring dips</p>

<p><em>Men: 135 lb.</em><br />
<em>Women: 95 lb.</em></p>

<p>Post time to comments.</p>
"
2019-01-26,"<p><strong>Fight Gone Bad!</strong></p>

<p>3 rounds for max reps of:<br />
1 minute of wall-ball shots<br />
1 minute of sumo deadlift high pulls<br />
1 minute of box jumps<br />
1 minute of push presses<br />
1 minute of rowing (calories)<br />
Rest 1 minute</p>

<p><em>Men: 20-lb. ball to 10 ft., 75-lb. SDHP and press, 20-in. box</em><br />
<em>Women: 14-lb. ball to 9 ft., 55-lb. SDHP and press, 20-in. box</em></p>

<p>Post total reps to comments | Compare to <a href=""https://www.crossfit.com/workout/2018/07/30#/comments"" target=""_blank"">180730</a>.</p>
"
2019-01-25,"<p>Clean and jerk 1-1-1-1-1-1-1 reps</p>

<p>Post loads to comments |Compare to <a href=""https://www.crossfit.com/workout/2018/12/17"" target=""_blank"">181217</a>.</p>
"
2019-01-24,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-23,"<p>3 rounds of:<br />
7 dumbbell bench presses<br />
5 strict L pull-ups</p>

<p>Then,<br />
Row 1,000 m for time</p>

<p>Post total dumbbell load as a percentage of body weight, and post row time.</p>
"
2019-01-22,"<p>3 rounds for time of:</p>

<p>1 minute of L-sit hold from the ground<br />
2 minutes holding a handstand<br />
500-m row</p>

<p>Post time to comments.</p>
"
2019-01-21,"<p>7-6-5-4-3-2-1 reps for time of:</p>

<p>Strict muscle-ups<br />
Single-leg squats, right leg<br />
Single-leg squats, left leg</p>

<p>Post time to comments.</p>
"
2019-01-20,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-19,"<p>On a 50-minute clock, with no rest between:</p>

<p>15 minutes of handstand practice<br />
10 minutes of L-sit practice<br />
5 minutes of double-unders<br />
20 minutes of stretching</p>

<p>Post to comments.</p>
"
2019-01-18,"<p><a href=""https://journal.crossfit.com/article/cfj-the-crossfit-total"" target=""_blank"">CrossFit Total</a></p>

<p>Back squat, 1 rep<br />
Shoulder press, 1 rep<br />
Deadlift, 1 rep</p>

<p>Post total to comments.</p>

<p>Compare to <a href=""https://www.crossfit.com/workout/2018/08/03"" target=""_blank"">180803</a>.</p>
"
2019-01-17,"<p>Strict and for time:<br />
10 pull-ups<br />
20 push-ups<br />
30 squats<br />
Row 2,000 m<br />
15 pull-ups<br />
30 push-ups<br />
45 squats<br />
Row 1,000 m<br />
20 pull-ups<br />
40 push-ups<br />
60 squats<br />
Row 500 m</p>

<p>Post time to comments.</p>
"
2019-01-16,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-15,"<p>Complete as many rounds as possible in 20 minutes of:</p>

<p>15 strict pull-ups<br />
30 push-ups<br />
45 squats</p>

<p>Post rounds completed to comments.</p>
"
2019-01-14,"<p>5 rounds for time of:</p>

<p>1 minute of L-sit holds<br />
15 controlled, no-momentum back extensions</p>

<p>Post time to comments.</p>
"
2019-01-13,"<p><strong>Grace</strong></p>

<p>30 clean and jerks for time</p>

<p><em>Men: 135 lb.</em><br />
<em>Women: 95 lb.</em></p>

<p>Squat clean each rep.</p>

<p>Post time to comments | Compare to <a href=""https://www.crossfit.com/workout/2018/11/10#/comments"">181110</a> (similar)</p>
"
2019-01-12,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-11,"<p><strong>Cindy, Strict!</strong></p>

<p>Complete as many rounds as possible in 20 minutes of:<br />
5 strict pull-ups<br />
10 honest push-ups<br />
15 squats</p>

<p>Post rounds completed to comments.</p>
"
2019-01-10,"<p>5 rounds of continuous movement of:</p>

<p>2 legless rope climbs, 15-ft. rope<br />
20 controlled, slow AbMat sit-ups</p>

<p>Post to comments.</p>
"
2019-01-09,"<p>Deadlift 1-1-1-1-1 reps</p>

<p>Then, practice handstands for 20 minutes.</p>

<p>Post loads to comments | Compare to <a href=""https://www.crossfit.com/workout/2014/01/24#/comments"">140124</a>.</p>
"
2019-01-08,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-07,"<p>21-15-9 reps for time of:</p>

<p>Dumbbell clean and jerks<br />
Strict pull-ups<br />
GHD sit-ups</p>

<p><em>Men: 35-lb. DBs</em><br />
<em>Women: 25-lb. DBs</em></p>

<p>Post time to comments.</p>
"
2019-01-06,"<p>3 rounds for time of:</p>

<p>15 inverted burpees (supine to handstand)<br />
1,000-m row<br />
15 burpees over the rower</p>

<p>Post time to comments.</p>
"
2019-01-05,"<p>For time:</p>

<p>50 strict pull-ups<br />
100 push-ups<br />
150 squats</p>

<p>Post time to comments.</p>
"
2019-01-04,"<p><strong>Rest Day</strong></p>

<p>Post thoughts to comments.</p>
"
2019-01-03,"<p>Deadlift 5-3-3-1-1-1 reps</p>

<p>Then, practice slowly descending from a handstand.</p>

<p>Post deadlift loads to comments.</p>
"
2019-01-02,"<p>For time:</p>

<p>9 thrusters<br />
1,000-m row<br />
15 thrusters<br />
1,000-m row<br />
21 thrusters</p>

<p><em>Men: 65 lb.</em><br />
<em>Women: 45 lb.</em></p>

<p>Post time to comments.</p>
"
2019-01-01,"<p>Complete as many reps as possible in 12 minutes of:</p>

<p>1 strict pull-up, 2 push-ups, 3 squats<br />
2 strict pull-ups, 4 push-ups, 6 squats<br />
3 strict pull-ups, 6 push-ups, 9 squats<br />
Etc.</p>

<p>Start at a higher round if you think it will allow you to complete more reps in the 12 minutes—e.g., 5-10-15, then 6-12-18, then 7-14-21, etc.,</p>

<p>Post starting point, finishing point and total reps completed to comments.</p>
"
